ID Produk,Nama Produk,Brand,Kategori,Subkategori,Deskripsi Teks (Untuk Embeddings),Harga (Untuk Filter Metadata),URL Produk (Tautan Pembelian),url_gambar
PROD-001,Sepatu Gunung Naturehike Mid Cut Vibram Sole,Naturehike,Footwear/Outdoor,Sepatu Gunung,Produk Sepatu Gunung Naturehike Mid Cut Vibram Sole dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi dengan sasis pelindung tumit TPU stabilizer serta konstruksi midsole EVA dual-density yang meredam benturan dengan sangat baik saat membawa beban berat. Sangat direkomendasikan untuk pendakian gunung jangka panjang (multi-day trekking) seperti jalur Gunung Rinjani atau Kerinci yang membutuhkan ketahanan kaki maksimal. Produk original dari Naturehike ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,522000,https://www.outdoorgear.id/produk/sepatu-gunung-naturehike-mid-cut-vibram-sole-prod-001,https://img.freepik.com/premium-vector/footwear-logo_603271-253.jpg?w=2000
PROD-002,Topi Rimba Quechua Quickdry With Neck Flap,Quechua,Apparel/Outdoor,Topi Rimba,"Produk Topi Rimba Quechua Quickdry With Neck Flap dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi tali dagu yang dapat disesuaikan (adjustable chin strap) dan panel pelindung leher belakang (neck flap) yang bisa dilepas-pasang sesuai kenyamanan. Sangat praktis dibawa karena bahannya yang mudah dilipat tanpa merusak bentuk asli, pas dimasukkan ke saku celana atau kompartemen tas kecil. Produk original dari Quechua ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",61000,https://www.outdoorgear.id/produk/topi-rimba-quechua-quickdry-with-neck-flap-prod-002,https://down-id.img.susercontent.com/file/id-11134207-7r991-lm8ie3iy90ac50
PROD-003,Hammock Columbia Double Webbing Parasut Sutra,Columbia,Equipment/Camping,Hammock,"Produk Hammock Columbia Double Webbing Parasut Sutra dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dibuat dari kain Parasut Sutra (High-Grade Nylon Parachute) berukuran luas yang dijahit dengan triple-stitch nylon thread untuk menjamin kekuatan menahan beban hingga 200 kg. Sempurna untuk melengkapi kenyamanan waktu santai Anda saat beristirahat di sela-sela pendakian gunung, piknik di hutan pinus, atau sekadar bersantai di pantai. Dengan memilih perlengkapan dari Columbia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",207000,https://www.outdoorgear.id/produk/hammock-columbia-double-webbing-parasut-sutra-prod-003,https://tse3.mm.bing.net/th/id/OIP.0VJZoFfRqhDMgyd1qwQBxQHaHa?pid=Api&P=0&h=180
PROD-004,Kompor Portable Columbia Mini Spider Ultralight Titanium,Columbia,Equipment/Cooking,Kompor Portable,"Produk Kompor Portable Columbia Mini Spider Ultralight Titanium dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan desain berbahan stainless steel dan copper core berkekuatan tinggi yang tahan korosi dan panas ekstrem, dilengkapi dengan katup penyesuai tekanan gas yang sangat presisi. Sangat direkomendasikan untuk kegiatan outdoor berkelompok maupun solo camping, serta berguna sebagai kit darurat bencana di rumah. Dengan memilih perlengkapan dari Columbia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",204000,https://www.outdoorgear.id/produk/kompor-portable-columbia-mini-spider-ultralight-titanium-prod-004,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-005,Tracking Pole Deuter Flip Lock Antishock,Deuter,Equipment/Outdoor,Tracking Pole,"Produk Tracking Pole Deuter Flip Lock Antishock dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi mekanisme anti-shock peredam getaran internal dan grip berbahan busa EVA ergonomis yang menyerap keringat, mencegah tangan lecet selama perjalanan panjang. Sangat membantu menjaga keseimbangan tubuh dan mengurangi beban tekanan pada lutut hingga 25% saat melewati turunan curam berbatu. Dengan memilih perlengkapan dari Deuter, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",349000,https://www.outdoorgear.id/produk/tracking-pole-deuter-flip-lock-antishock-prod-005,https://tse4.mm.bing.net/th/id/OIP.n6MSlR667OBfMj7GoAV1vAHaHa?pid=Api&P=0&h=180
PROD-006,Raincoat Columbia Ultralight Jas Hujan Setelan Baju Celana,Columbia,Apparel/Outdoor,Raincoat,"Produk Raincoat Columbia Ultralight Jas Hujan Setelan Baju Celana dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan material PVC baling premium yang tebal namun tetap lentur, dilengkapi teknologi double-placket ritsleting depan untuk mencegah air merembes masuk saat badai. Perlindungan wajib yang harus selalu siap di bagian atas tas carrier untuk mengantisipasi perubahan cuaca ekstrem yang tiba-tiba terjadi di tengah hutan. Produk original dari Columbia ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",270000,https://www.outdoorgear.id/produk/raincoat-columbia-ultralight-jas-hujan-setelan-baju-celana-prod-006,https://tse4.mm.bing.net/th/id/OIP.LVIaBNMgTA5BLXnbgL08kwHaHa?pid=Api&P=0&h=180
PROD-007,Jaket Kalibre Softshell Windbreaker,Kalibre,Apparel/Outdoor,Jaket,Produk Jaket Kalibre Softshell Windbreaker dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan kombinasi bahan luar kain parasut windbreaker tahan angin dan lapisan insulasi bulu angsa (down feather) sintetis yang mampu menahan suhu dingin ekstrem hingga minus 5 derajat Celcius. Peralatan wajib (*must-have item*) yang harus ada di dalam tas saat melakukan muncak (*summit attack*) menjelang dini hari demi melawan dinginnya angin puncak. Produk original dari Kalibre ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,360000,https://www.outdoorgear.id/produk/jaket-kalibre-softshell-windbreaker-prod-007,https://down-id.img.susercontent.com/file/id-11134207-7r98z-lxwc0v5a3m1n2c
PROD-008,Matras Arei Alumunium Foil Karet,Arei,Equipment/Camping,Matras,"Produk Matras Arei Alumunium Foil Karet dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan bahan nilon TPU tiup (inflatable mat) yang sangat ringkas saat dilipat, hanya seukuran botol minum, namun empuk dan tebal saat dikembangkan. Fungsional, serbaguna, dan tahan lama, matras ini juga dapat digelar untuk kebutuhan yoga, piknik santai, atau alas duduk darurat di alam terbuka. Produk original dari Arei ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",90000,https://www.outdoorgear.id/produk/matras-arei-alumunium-foil-karet-prod-008,https://down-id.img.susercontent.com/file/sg-11134201-23010-vqbbjagjc6lvc0
PROD-009,Sepatu Gunung Kalibre Suede Leather Waterproof,Kalibre,Footwear/Outdoor,Sepatu Gunung,"Produk Sepatu Gunung Kalibre Suede Leather Waterproof dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi dengan sasis pelindung tumit TPU stabilizer serta konstruksi midsole EVA dual-density yang meredam benturan dengan sangat baik saat membawa beban berat. Sangat direkomendasikan untuk pendakian gunung jangka panjang (multi-day trekking) seperti jalur Gunung Rinjani atau Kerinci yang membutuhkan ketahanan kaki maksimal. Dengan memilih perlengkapan dari Kalibre, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",537000,https://www.outdoorgear.id/produk/sepatu-gunung-kalibre-suede-leather-waterproof-prod-009,https://img.freepik.com/premium-vector/footwear-logo_603271-253.jpg?w=2000
PROD-010,Botol Minum Thermal Avtech 1 Liter Keep Hot/Cold,Avtech,Equipment/Tools,Botol Minum Thermal,"Produk Botol Minum Thermal Avtech 1 Liter Keep Hot/Cold dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi tutup anti-bocor dengan silikon seal grade medis serta lapisan powder coating eksterior yang memberikan cengkeraman kokoh dan tahan goresan benturan. Konstruksinya yang kokoh menjamin umur pakai yang panjang, siap menemani petualangan ekstrem Anda melintasi berbagai medan alam liar. Dengan memilih perlengkapan dari Avtech, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",167000,https://down-id.img.susercontent.com/file/id-11134207-7ra0p-md2jv4oc5s9wd5,https://down-id.img.susercontent.com/file/id-11134207-7ra0p-md2jv4oc5s9wd5
PROD-011,Sandal Gunung Quechua Casual Outdoor Sol Karet Grip,Quechua,Footwear/Outdoor,Sandal Gunung,"Produk Sandal Gunung Quechua Casual Outdoor Sol Karet Grip dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi dengan anyaman tali webbing polyester yang kuat, cepat kering, serta sistem kuncian Velcro tiga titik yang dapat disesuaikan dengan volume kaki Anda. Sangat nyaman digunakan saat berada di basecamp, melakukan aktivitas susur sungai, atau trekking ringan dengan medan yang tidak terlalu ekstrem. Sebagai salah satu rilisan unggulan, Quechua berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",295000,https://www.outdoorgear.id/produk/sandal-gunung-quechua-casual-outdoor-sol-karet-grip-prod-011,https://tse3.mm.bing.net/th/id/OIP.u99VhiRAdetuwhOIsZvlBQHaHa?pid=Api&P=0&h=180
